relative_path	file_type	bytes	sha256	hardlink_count
CHANGELOG.md	regular file	459	920200e7cd6639f7e162a6a6dd4cee74a8ef42375f94b753150c9da319173a81	1
CREDITS.md	regular file	599	0bf903f2d580b341912a8affa01a7c4501c46562eb82e06acd93f737409dbae0	1
DEVICE_COMPATIBILITY.md	regular file	429	74e78dd93d183b67aa9f0dedb563a63912b4da2983e04844112f014c97304a8c	1
INSTALL.md	regular file	1245	7c41afb5a2b224d5ab484b0d945398e65b04f804344a826aca2384c43069bc7f	1
Kernel/Nothing_Phone3A_NetHunter_Kernel_B4.1-260414-1749_NH06.img	regular file	100663296	0183a4f3f68468b2dbff2feb36d120ea2146232990f6ad9360d0d5f0f7c8d685	1
LICENSES.md	regular file	369	c11026402bb746e89da5cd655f85360aae3ad08acb185e59e106b146d6b7c4e1	1
MANIFEST.tsv	regular file	2899	35f560eafcca0700a7e5cbce045deecd52fcdee78c3ba0bb8c9ab54eddddb8c7	1
OTA_UPDATING_PROCESS.md	regular file	1443	babde16f1f0247bf317ba47cf72199c9c3bbca7d1d4235a7b146c0d1d1f9ae09	1
README.md	regular file	1181	9d78e365a3688f7b805527872362ca369034442f06993427b49fbedbd6360643	1
RELEASE_NOTES.md	regular file	1806	cab8f3918798788e42da8813503edad73f2ece07cdd35e08d637c00800c72cfe	1
Recovery/OrangeFox-R12.0_6.6-Unofficial-Asteroids_B4.1-260414-1749.img	regular file	104857600	7c2e567aaaa24e44a616e5941ba7d5050dc5772cc088c2f5c0ca91861ad4a461	1
SHA256SUMS	regular file	1508	84b583223d2ee84f670a0ccd34f05345a6da2faa1dc8b575ed35ccf90a740dbb	1
Scripts/flash-recovery-reviewed.sh	regular file	775	9a57b7b792f26bf368c066fbec3ae1e5ae4e4eb3fd8d84cac8fc02972480b4f4	1
Scripts/verify-package.sh	regular file	228	f031eecd12ef0ec91525933ddcc32805e0170f3c043e1c7d2a1a6f16aa9597cf	1
VERSION	regular file	363	25be11583824cae439bc82adda482b6bae81818743d37fd353d9754728273f76	1
Validation/NETHUNTER_VALIDATION_SUMMARY.md	regular file	708	2554e3baa8fe13b0c666371bf3da962582efa405992976d69d2e01c1513ef04d	1
Validation/ORANGEFOX_VALIDATION_SUMMARY.md	regular file	542	df6481cc285cecd5755931242bfb178255f0241cefac50f74323883f262241a2	1
Validation/STOCK_REFERENCE_HASHES.tsv	regular file	517	0ebab7d2761a4d849a82b8f86062bce62fc9f20f0c7e8e806157c8b54ac44682	1
