CATEGORY	FILENAME	VERSION	TARGET_DEVICE	FIRMWARE_BASE	SIZE	SHA256	STATUS	INDEPENDENT_COPY
DOCUMENTATION	CHANGELOG.md	release	Nothing Phone (3a)/Asteroids	B4.1-260414-1749	459	920200e7cd6639f7e162a6a6dd4cee74a8ef42375f94b753150c9da319173a81	ACTIVE	YES
DOCUMENTATION	CREDITS.md	release	Nothing Phone (3a)/Asteroids	B4.1-260414-1749	599	0bf903f2d580b341912a8affa01a7c4501c46562eb82e06acd93f737409dbae0	ACTIVE	YES
DOCUMENTATION	DEVICE_COMPATIBILITY.md	release	Nothing Phone (3a)/Asteroids	B4.1-260414-1749	429	74e78dd93d183b67aa9f0dedb563a63912b4da2983e04844112f014c97304a8c	ACTIVE	YES
DOCUMENTATION	INSTALL.md	release	Nothing Phone (3a)/Asteroids	B4.1-260414-1749	1245	7c41afb5a2b224d5ab484b0d945398e65b04f804344a826aca2384c43069bc7f	ACTIVE	YES
KERNEL	Kernel/Nothing_Phone3A_NetHunter_Kernel_B4.1-260414-1749_NH06.img	NH06	Nothing Phone (3a)/Asteroids	B4.1-260414-1749	100663296	0183a4f3f68468b2dbff2feb36d120ea2146232990f6ad9360d0d5f0f7c8d685	ACTIVE	YES
DOCUMENTATION	LICENSES.md	release	Nothing Phone (3a)/Asteroids	B4.1-260414-1749	369	c11026402bb746e89da5cd655f85360aae3ad08acb185e59e106b146d6b7c4e1	ACTIVE	YES
DOCUMENTATION	OTA_UPDATING_PROCESS.md	release	Nothing Phone (3a)/Asteroids	B4.1-260414-1749	1443	babde16f1f0247bf317ba47cf72199c9c3bbca7d1d4235a7b146c0d1d1f9ae09	ACTIVE	YES
DOCUMENTATION	README.md	release	Nothing Phone (3a)/Asteroids	B4.1-260414-1749	1181	9d78e365a3688f7b805527872362ca369034442f06993427b49fbedbd6360643	ACTIVE	YES
DOCUMENTATION	RELEASE_NOTES.md	release	Nothing Phone (3a)/Asteroids	B4.1-260414-1749	1806	cab8f3918798788e42da8813503edad73f2ece07cdd35e08d637c00800c72cfe	ACTIVE	YES
RECOVERY	Recovery/OrangeFox-R12.0_6.6-Unofficial-Asteroids_B4.1-260414-1749.img	R12.0_6.6	Nothing Phone (3a)/Asteroids	B4.1-260414-1749	104857600	7c2e567aaaa24e44a616e5941ba7d5050dc5772cc088c2f5c0ca91861ad4a461	ACTIVE	YES
SCRIPT	Scripts/flash-recovery-reviewed.sh	release	Nothing Phone (3a)/Asteroids	B4.1-260414-1749	775	9a57b7b792f26bf368c066fbec3ae1e5ae4e4eb3fd8d84cac8fc02972480b4f4	ACTIVE	YES
SCRIPT	Scripts/verify-package.sh	release	Nothing Phone (3a)/Asteroids	B4.1-260414-1749	228	f031eecd12ef0ec91525933ddcc32805e0170f3c043e1c7d2a1a6f16aa9597cf	ACTIVE	YES
DOCUMENTATION	VERSION	release	Nothing Phone (3a)/Asteroids	B4.1-260414-1749	363	25be11583824cae439bc82adda482b6bae81818743d37fd353d9754728273f76	ACTIVE	YES
VALIDATION	Validation/NETHUNTER_VALIDATION_SUMMARY.md	release	Nothing Phone (3a)/Asteroids	B4.1-260414-1749	708	2554e3baa8fe13b0c666371bf3da962582efa405992976d69d2e01c1513ef04d	REFERENCE	YES
VALIDATION	Validation/ORANGEFOX_VALIDATION_SUMMARY.md	release	Nothing Phone (3a)/Asteroids	B4.1-260414-1749	542	df6481cc285cecd5755931242bfb178255f0241cefac50f74323883f262241a2	REFERENCE	YES
VALIDATION	Validation/STOCK_REFERENCE_HASHES.tsv	release	Nothing Phone (3a)/Asteroids	B4.1-260414-1749	517	0ebab7d2761a4d849a82b8f86062bce62fc9f20f0c7e8e806157c8b54ac44682	REFERENCE	YES
